date,value
27/03/2016,428.8
28/03/2016,426.86
29/03/2016,426.2
30/03/2016,416.83
31/03/2016,418.37
01/04/2016,418.17
02/04/2016,422.08
03/04/2016,421.58
04/04/2016,422.34
05/04/2016,424.26
06/04/2016,424.53
07/04/2016,423.66
08/04/2016,425.36
09/04/2016,420.89
10/04/2016,422.44
11/04/2016,422.74
12/04/2016,427.28
13/04/2016,426.66
14/04/2016,425.37
15/04/2016,429.93
16/04/2016,432.63
17/04/2016,431.37
18/04/2016,429.27
19/04/2016,436.02
20/04/2016,443.05
21/04/2016,450.55
22/04/2016,449.81
23/04/2016,450.28
24/04/2016,460.15
25/04/2016,466.62
26/04/2016,467.96
27/04/2016,467.08
28/04/2016,449.55
29/04/2016,455.38
30/04/2016,455.59
01/05/2016,452.48
02/05/2016,452.44
03/05/2016,451.1
04/05/2016,450.38
05/05/2016,448.51
06/05/2016,461.38
07/05/2016,460.68
08/05/2016,459.42
09/05/2016,462.48
10/05/2016,461.93
11/05/2016,454.58
12/05/2016,454.95
13/05/2016,457.06
14/05/2016,456.84
15/05/2016,458.69
16/05/2016,458.2
17/05/2016,455.07
18/05/2016,456
19/05/2016,454.63
20/05/2016,444.05
21/05/2016,443.78
22/05/2016,443.43
23/05/2016,444.35
24/05/2016,447.1
25/05/2016,450.3
26/05/2016,453.64
27/05/2016,478.15
28/05/2016,533.47
29/05/2016,553.96
30/05/2016,544.35
31/05/2016,546.62
01/06/2016,543.08
02/06/2016,540.35
03/06/2016,574.64
04/06/2016,590.13
05/06/2016,582.81
06/06/2016,586.47
07/06/2016,590.26
08/06/2016,582.84
09/06/2016,582.2
10/06/2016,579.13
11/06/2016,607.12
12/06/2016,684.84
13/06/2016,716
14/06/2016,704.5
15/06/2016,696.3
16/06/2016,773.72
17/06/2016,775.36
18/06/2016,777.99
19/06/2016,766.62
20/06/2016,764.08
21/06/2016,735.88
22/06/2016,678.67
23/06/2016,629.33
24/06/2016,681.73
25/06/2016,691.73
26/06/2016,665.98
27/06/2016,655.27
28/06/2016,659.25
29/06/2016,644.68
30/06/2016,675.4
01/07/2016,686.15
02/07/2016,703.7
03/07/2016,704.97
04/07/2016,683.66
05/07/2016,683.49
06/07/2016,681.9
07/07/2016,682.43
08/07/2016,666.71
09/07/2016,666.38
10/07/2016,652.29
11/07/2016,659.63
12/07/2016,675.26
13/07/2016,668.7
14/07/2016,662.9
15/07/2016,667.08
16/07/2016,666.46
17/07/2016,682.37
18/07/2016,681.55
19/07/2016,673.28
20/07/2016,672.93
21/07/2016,666.22
22/07/2016,666.58
23/07/2016,656.37
24/07/2016,663.11
25/07/2016,661.83
26/07/2016,656.23
27/07/2016,657.46
28/07/2016,657.6
29/07/2016,657.8
30/07/2016,658.22
31/07/2016,655.28
01/08/2016,626.12
02/08/2016,612.85
03/08/2016,573.36
04/08/2016,579.5
05/08/2016,578.28
06/08/2016,588.4
07/08/2016,597.51
08/08/2016,592.99
09/08/2016,591.09
10/08/2016,599.98
11/08/2016,597.54
12/08/2016,589.91
13/08/2016,589.77
14/08/2016,585.67
15/08/2016,573.58
16/08/2016,581.74
17/08/2016,580.89
18/08/2016,577.79
19/08/2016,578.24
20/08/2016,582.82
21/08/2016,584.16
22/08/2016,588.45
23/08/2016,589.47
24/08/2016,583.59
